StrmLev,stream_ID,fpbFtrID,fpbLong,fpbLat,fpbFtrTy,fpbFPasSta,cost,pass_score
3,752,40144,-123.898089,43.575781,Bridge,Unknown,370171,0.1
3,752,28641,-124.0232679,43.48126249,Falls,UnkAnad,455041.93,0.5
3,752,28642,-124.0187227,43.48001801,Falls,UnkAnad,455041.93,0.5
3,752,28643,-124.0180379,43.48061303,Falls,UnkAnad,455041.93,0.5
3,752,8655,-124.0031366,43.49613315,Falls,Partial,455041.93,0.5
3,752,8656,-123.9965711,43.51103009,Falls,Partial,455041.93,0.5
3,756,29008,-124.0780881,43.33473549,Culvert,Partial,108847.2,0.5
3,756,29154,-124.0837221,43.33954288,Dam,Passable,487195.2,1
3,757,7881,-124.0970902,43.30756726,Culvert,Passable,108847.2,1
3,758,23835,-123.9568584,43.44120495,Culvert,Blocked,108847.2,0.1
3,766,3976,-123.8025495,43.28052101,Falls,UnkAnad,455041.93,0.5
3,766,28640,-123.7722419,43.27581921,Falls,UnkAnad,455041.93,0.5
3,767,7952,-123.8458191,43.42694571,Falls,Blocked,455041.93,0.1
3,777,24352,-123.8021644,43.37355011,Culvert,Blocked,108847.2,0.1
3,782,5008,-124.1074419,43.44685958,Culvert,UnkAnad,108847.2,0.1
3,790,39816,-124.203133,43.49439,TideGate,UnkAnad,77617.39,0.5
3,794,5184,-123.806431,43.29083302,Falls,Blocked,455041.93,0.1
3,803,40127,-124.1442957,43.30772728,Bridge,Unknown,370171,0.1
3,803,5609,-124.1174276,43.30080729,Falls,Blocked,455041.93,0.1
3,903,39862,-124.14889,43.287108,TideGate,UnkAnad,77617.39,0.5
3,903,3645,-124.1448015,43.28730428,Culvert,Passable,108847.2,1
3,906,7964,-123.7739632,43.2534041,Falls,Unknown,455041.93,0.5
3,912,18808,-124.2912078,43.3711959,Dam,Unknown,487195.2,0.1
3,919,14766,-124.2609706,43.27198886,Culvert,UnkAnad,108847.2,0.1
3,919,15926,-124.2606883,43.27171342,Culvert,Unknown,108847.2,0.1
3,919,33572,-124.226283,43.288492,Bridge,Unknown,370171,0.1
3,919,34067,-124.226186,43.288367,Bridge,Unknown,370171,0.1
3,919,35917,-124.2268,43.289719,Bridge,Unknown,370171,0.1
3,919,8917,-124.2554391,43.28585832,Culvert,Passable,108847.2,1
3,919,8918,-124.2588289,43.2804169,Culvert,Passable,108847.2,1
3,919,3955,-124.2647504,43.26091278,Falls,Blocked,455041.93,0.1
3,921,4914,-123.9733451,43.45368407,Culvert,Unknown,108847.2,0.1
3,924,35752,-124.174131,43.349339,Bridge,Unknown,370171,0.1
3,924,39839,-124.169067,43.350763,TideGate,UnkAnad,77617.39,0.5
3,924,8916,-124.1822633,43.32666443,Culvert,Passable,108847.2,1
3,934,10151,-124.1708283,43.43144282,Culvert,Passable,108847.2,1
3,934,24501,-124.1551637,43.44747808,Culvert,Blocked,108847.2,0.1
3,938,38513,-124.152069,43.282767,Bridge,Unknown,370171,0.1
3,938,4507,-124.1280906,43.26636554,Culvert,UnkAnad,108847.2,0.1
3,938,9868,-124.1284821,43.26654458,Falls,Passable,455041.93,1
3,939,33571,-124.20585,43.325947,Bridge,Unknown,370171,0.1
3,939,34066,-124.205703,43.325864,Bridge,Unknown,370171,0.1
3,955,14927,-124.093476,43.38275871,Culvert,Unknown,108847.2,0.1
3,955,12392,-124.0931055,43.38660398,Dam,Partial,487195.2,0.5
3,956,39841,-124.167693,43.348366,TideGate,UnkAnad,77617.39,0.5
3,959,44830,-123.948487,43.41850488,CascadeGradientVelocity,Blocked,455041.93,0.1
3,960,5605,-124.2263573,43.34035572,TideGate,UnkAnad,77617.39,0.5
3,960,33470,-124.209414,43.356058,Bridge,Unknown,370171,0.1
3,960,39905,-124.227173,43.34046,TideGate,UnkAnad,77617.39,0.5
3,961,2700,-123.8715593,43.34217051,Culvert,UnkAnad,108847.2,0.1
3,963,39853,-124.153676,43.32110699,TideGate,UnkAnad,77617.39,0.5
3,979,3893,-124.1722464,43.38181644,Culvert,Partial,108847.2,0.5
3,1005,35688,-124.225336,43.259364,Bridge,Unknown,370171,0.1
3,1020,39801,-124.168012,43.35153299,TideGate,UnkAnad,77617.39,0.5
3,1023,28639,-123.6414974,43.25910092,Falls,Blocked,455041.93,0.1
3,1024,28993,-124.3152767,43.27070145,Culvert,UnkAnad,108847.2,0.1
3,1024,28994,-124.3023722,43.26029809,Culvert,Unknown,108847.2,0.1
3,1024,24518,-124.3110961,43.26817588,Culvert,Partial,108847.2,0.5
3,1048,29015,-124.024552,43.42082346,Culvert,UnkAnad,108847.2,0.1
3,1048,29016,-123.995034,43.42353454,Culvert,Partial,108847.2,0.5
3,1048,29018,-123.9810306,43.42078411,Culvert,Partial,108847.2,0.5
3,1049,39837,-124.174579,43.36154899,TideGate,UnkAnad,77617.39,0.5
3,1053,39838,-124.169876,43.352832,TideGate,UnkAnad,77617.39,0.5
3,1076,39856,-124.158727,43.31837,TideGate,UnkAnad,77617.39,0.5
3,1076,3647,-124.1652873,43.31690709,Culvert,Passable,108847.2,1
3,1076,3648,-124.1641873,43.31758984,Culvert,Passable,108847.2,1
3,1084,28631,-123.8140532,43.3106967,Falls,UnkAnad,455041.93,0.5
3,1084,28632,-123.8271012,43.30701726,Falls,UnkAnad,455041.93,0.5
3,1084,28633,-123.8272317,43.30692621,Falls,UnkAnad,455041.93,0.5
3,1089,2714,-123.7979101,43.30208731,Culvert,UnkAnad,108847.2,0.1
3,1089,2725,-123.7821837,43.29966553,Culvert,UnkAnad,108847.2,0.1
3,1089,8035,-123.7634649,43.29213061,Falls,Blocked,455041.93,0.1
3,1108,45416,-124.0783889,43.30441736,Culvert,Partial,108847.2,0.5
3,1118,3644,-124.1572958,43.2753483,Culvert,Passable,108847.2,1
3,1121,40018,-124.200822,43.32950899,TideGate,UnkAnad,77617.39,0.5
3,1121,40019,-124.200822,43.32950899,TideGate,UnkAnad,77617.39,0.5
3,1121,40020,-124.200822,43.32950899,TideGate,UnkAnad,77617.39,0.5
3,1121,17241,-124.201194,43.329633,Culvert,Unknown,108847.2,0.1
3,1130,39850,-124.161654,43.332491,TideGate,UnkAnad,77617.39,0.5
3,1136,24323,-123.7469682,43.36190402,Culvert,Blocked,108847.2,0.1
3,1142,39819,-124.212534,43.490376,TideGate,UnkAnad,77617.39,0.5
3,1142,39863,-124.212014,43.49017199,TideGate,UnkAnad,77617.39,0.5
3,1142,39864,-124.212205,43.490094,TideGate,UnkAnad,77617.39,0.5
3,1158,29151,-124.0838067,43.30472966,Dam,Partial,487195.2,0.5
3,1356,39852,-124.158086,43.32853999,TideGate,UnkAnad,77617.39,0.5
3,1360,13744,-124.229575,43.265336,TideGate,Unknown,77617.39,0.5
3,1370,24522,-124.1516904,43.29230713,Dam,Blocked,487195.2,0.1
3,1383,3754,-124.1579095,43.26145777,Culvert,Unknown,108847.2,0.1
3,1396,29005,-123.9938462,43.44038462,Culvert,Partial,108847.2,0.5
3,1396,9869,-123.991479,43.43536047,Falls,Blocked,455041.93,0.1
3,1430,8864,-124.1000681,43.38154124,Culvert,Passable,108847.2,1
3,1431,39814,-124.200968,43.49442799,TideGate,UnkAnad,77617.39,0.5
3,1453,23773,-123.7737687,43.39039139,Culvert,UnkAnad,108847.2,0.1
3,1461,5606,-124.215674,43.25608399,TideGate,UnkAnad,77617.39,0.5
3,1461,40017,-124.2151801,43.25638077,TideGate,UnkAnad,77617.39,0.5
3,1461,3643,-124.2064095,43.26193038,Culvert,Passable,108847.2,1
3,1469,42467,-124.2253579,43.46537979,Culvert,Unknown,108847.2,0.1
3,1472,39836,-124.206496,43.29885,TideGate,UnkAnad,77617.39,0.5
3,1472,3987,-124.1973676,43.28860916,Dam,Blocked,487195.2,0.1
3,1489,3892,-124.1561626,43.41116345,Culvert,UnkAnad,108847.2,0.1
3,1489,6412,-124.1908787,43.40157783,TideGate,UnkAnad,77617.39,0.5
3,1489,8957,-124.1888617,43.40149828,TideGate,UnkAnad,77617.39,0.5
3,1489,12254,-124.190879,43.401578,TideGate,UnkAnad,77617.39,0.5
3,1489,34987,-124.180306,43.401236,Bridge,Unknown,370171,0.1
3,1489,38726,-124.151011,43.414069,Bridge,Unknown,370171,0.1
3,1489,38727,-124.132089,43.417511,Bridge,Unknown,370171,0.1
3,1489,40459,-124.190879,43.401578,Bridge,UnkAnad,370171,0.1
3,1495,35005,-124.100453,43.3202,Bridge,Unknown,370171,0.1
3,1528,24531,-123.8074109,43.37095249,Culvert,Blocked,108847.2,0.1
3,1545,8586,-124.2317095,43.28237142,Culvert,Blocked,108847.2,0.1
3,1560,39858,-124.153656,43.30495199,TideGate,UnkAnad,77617.39,0.5
3,1575,9875,-123.9671542,43.45857594,Culvert,Passable,108847.2,1
3,1576,10150,-124.1485558,43.42819237,Culvert,Passable,108847.2,1
3,1597,39854,-124.155134,43.323537,TideGate,UnkAnad,77617.39,0.5
3,1604,12335,-124.2194884,43.25949547,TideGate,UnkAnad,77617.39,0.5
3,1616,7955,-123.6081405,43.28448111,Falls,Unknown,455041.93,0.5
3,1633,41385,-124.2240641,43.47598514,Culvert,Unknown,108847.2,0.1
3,1642,18779,-124.2986603,43.36228942,Dam,Unknown,487195.2,0.1
3,1642,8920,-124.2999304,43.36285998,Culvert,Passable,108847.2,1
3,1642,29004,-124.2868205,43.35539061,Culvert,Blocked,108847.2,0.1
3,1647,29023,-124.2462959,43.38324069,Culvert,Unknown,108847.2,0.1
3,1651,28998,-124.107788,43.33696092,Culvert,UnkAnad,108847.2,0.1
3,1673,4922,-124.0924359,43.35244203,Culvert,Partial,108847.2,0.5
3,1686,41382,-124.2236874,43.47934567,Culvert,Unknown,108847.2,0.1
3,1730,39846,-124.157545,43.33626299,TideGate,UnkAnad,77617.39,0.5
3,1730,39847,-124.156774,43.33673099,TideGate,UnkAnad,77617.39,0.5
3,1730,39851,-124.1556088,43.33694827,TideGate,UnkAnad,77617.39,0.5
3,1751,18169,-124.192296,43.34807724,Dam,Unknown,487195.2,0.1
3,1757,38829,-123.8868817,43.33449714,Falls,Blocked,455041.93,0.1
3,1766,8438,-124.0523017,43.41925724,Culvert,Unknown,108847.2,0.1
3,1768,38851,-123.7788047,43.21051743,CascadeGradientVelocity,Partial,455041.93,0.5
3,1771,3888,-124.1926192,43.42161269,Culvert,Unknown,108847.2,0.1
3,1825,39815,-124.202984,43.49395099,TideGate,UnkAnad,77617.39,0.5
3,2224,23834,-123.9522733,43.43900209,Culvert,Blocked,108847.2,0.1
3,2285,36172,-124.208861,43.300861,Bridge,Unknown,370171,0.1
3,2336,3701,-124.1097234,43.34186586,Culvert,Passable,108847.2,1
3,2336,23898,-124.115681,43.34192672,Culvert,Blocked,108847.2,0.1
3,2346,2709,-123.9261266,43.34127359,Culvert,Unknown,108847.2,0.1
3,2350,39844,-124.160397,43.340006,TideGate,UnkAnad,77617.39,0.5
3,2365,23879,-123.9440488,43.45098924,Culvert,Blocked,108847.2,0.1
3,2373,3646,-124.1547954,43.30319392,Culvert,Passable,108847.2,1
3,2396,4915,-123.9835672,43.44895112,Culvert,Blocked,108847.2,0.1
3,2398,39842,-124.158915,43.343646,TideGate,UnkAnad,77617.39,0.5
3,2405,5473,-124.1862813,43.42078259,Culvert,UnkAnad,108847.2,0.1
3,2405,10652,-124.1886495,43.42199366,TideGate,UnkAnad,77617.39,0.5
3,2445,28999,-124.1082433,43.33040621,Culvert,UnkAnad,108847.2,0.1
3,2446,39899,-124.148581,43.288293,TideGate,UnkAnad,77617.39,0.5
3,2453,24523,-124.0492202,43.36393688,Culvert,Blocked,108847.2,0.1
3,2461,39840,-124.165227,43.34812199,TideGate,UnkAnad,77617.39,0.5
3,2511,10152,-124.1735156,43.43141964,Culvert,Passable,108847.2,1
3,2519,12241,-124.2284756,43.26956998,Bridge,Unknown,370171,0.1
3,2519,13743,-124.228271,43.269454,Culvert,Unknown,108847.2,0.1
3,2519,15621,-124.228423,43.269535,Culvert,Unknown,108847.2,0.1
3,2534,10651,-123.9012321,43.40715996,Falls,Unknown,455041.93,0.5
3,2551,45401,-123.7122197,43.25315603,CascadeGradientVelocity,Partial,455041.93,0.5
3,2583,3849,-123.9639606,43.45944762,Culvert,Unknown,108847.2,0.1
3,2586,39916,-124.091838,43.377864,TideGate,UnkAnad,77617.39,0.5
3,2628,39915,-124.097402,43.38066699,TideGate,UnkAnad,77617.39,0.5
3,2667,8398,-124.2820649,43.38455376,Culvert,Blocked,108847.2,0.1
3,2672,23712,-123.7198912,43.31315068,Culvert,Blocked,108847.2,0.1
